"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"paralichthys olivaceus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Paralichthys olivaceus","yes","yes","paralichthys",NA,"paralichthyidae","pleuronectiformes","actinopterygii","osteichthyes","chordata","animalia","Flounders, halibuts, soles","bastard halibut"
"pseudorhombus cinnamoneus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pseudorhombus cinnamoneus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cinnamon flounder"
"tanakius kitaharae","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Tanakius kitaharae","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kitahara flounder"
"pleuronichthys cornutus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pleuronichthys cornutus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"horned flounder"
"zebrias zebra","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Zebrias zebra","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zebra sole"
"paraplagusia japonica","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Paraplagusia japonica","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese whiskered sole"
"cynoglossus oligolepis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus oligolepis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"few-scaled tongue sole"
"cynoglossus trigrammus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus trigrammus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"three-lined tongue sole"
"cynoglossus roulei","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus roulei","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black-gill tongue sole"
"cynoglossus joyneri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus joyneri","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"joyner's tongue sole"
"stephanolepis cirrhifer","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Stephanolepis cirrhifer","yes","yes","stephanolepis",NA,"monacanthidae","tetraodontiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","threadsail filefish"
"thamnaconus hypargyreus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Thamnaconus hypargyreus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin filefish"
"stolephorus commersoni","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Stolephorus commersoni","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"commerson's anchovy"
"stolephorus indicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Stolephorus indicus","yes","yes","stolephorus","engraulinae","engraulidae","clupeiformes","actinopteri","osteichthyes","chordata","animalia",NA,"indian anchovy"
"thryssa kammalensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Thryssa kammalensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"red-nosed anchovy"
"thryssa dussumieri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Thryssa dussumieri","yes","yes","thryssa","coiliinae","engraulidae","clupeiformes","actinopteri","osteichthyes","chordata","animalia",NA,"dussumier's thryssa"
"thryssa mystax","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Thryssa mystax","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mystic anchovy"
"thryssa vitrirostris","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Thryssa vitrirostris","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellow-lipped anchovy"
"sardinella nymphaea","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella nymphaea","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chinese sardine"
"sardinella hualiensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella hualiensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hualien sardine"
"sardinella zunasi","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella zunasi","yes","yes","sardinella","dorosomatinae","clupeidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Herrings, sardines, anchovies","japanese sardinella"
"sardinella fimbriata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella fimbriata","yes","yes","sardinella","dorosomatinae","clupeidae","clupeiformes","actinopteri","osteichthyes","chordata","animalia",NA,"fringescale sardinella"
"sardinella jussieu","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sardinella jussieu","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"jussieu's sardine"
"arius arius","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Arius arius","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sea catfish"
"plotosus lineatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Plotosus lineatus","yes","yes","plotosus",NA,"plotosidae","siluriformes","actinopteri","osteichthyes","chordata","animalia",NA,"striped eel catfish"
"coelorinchus kamoharai","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Coelorinchus kamoharai","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kamohara's cusk-eel"
"bregmaceros macclellandii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Bregmaceros macclellandii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"macclelland's cusk-eel"
"zeus faber","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Zeus faber","yes","yes","zeus",NA,"zeidae","zeiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","john dory"
"pterois volitans","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pterois volitans","yes","yes","pterois","pteroinae","scorpaenidae","perciformes/scorpaenoidei","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","red lionfish"
"scorpaenopsis cirrosa","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Scorpaenopsis cirrosa","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"scorpaenopsis cirrosa"
"apistus carinatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Apistus carinatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"carinated scorpaenopsis"
"paracentropogon rubripinnis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Paracentropogon rubripinnis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"red-finned scorpaenopsis"
"minous monodactylus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Minous monodactylus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"monodactylus scad"
"inegocia japonica","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Inegocia japonica","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese pufferfish"
"rogadius asper","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Rogadius asper","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spiny pufferfish"
"grammoplites scaber","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Grammoplites scaber","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"scad"
"acropoma japonicum","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acropoma japonicum","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese lightfish"
